sleeve_id,fires,wr,pnl,first_fire,last_fire
shadow_poly_updown_sol_5m_momo_v1_m5v,10,0.400,-58.00,2026-06-01 14:20:45.380642+02,2026-06-01 18:57:09.159818+02
kalshi_sniper_all_15m_s4_prewindow,9,0.222,-24.76,2026-05-31 17:16:00.59787+02,2026-06-01 02:31:00.365081+02
poly_updown_sol_15m_momo_SELL_f7,9,0.556,66.00,2026-05-26 01:00:50.672094+02,2026-05-27 11:31:00.80597+02
poly_sniper_v5_sol_5m_down_b1_500_v9,9,0.889,50.67,2026-05-29 16:31:04.693891+02,2026-06-01 17:36:06.065139+02
poly_updown_sol_15m_momo_HEDGE_f7,9,0.667,68.83,2026-05-26 01:01:07.360089+02,2026-05-27 11:30:59.932229+02
poly_updown_btc_15m_momo_HEDGE_f7,8,0.875,133.15,2026-05-26 01:00:51.66191+02,2026-05-27 07:01:50.076151+02
poly_updown_btc_15m_momo_SELL_f7,8,0.750,119.37,2026-05-26 01:00:55.654163+02,2026-05-27 07:01:41.650161+02
poly_updown_btc_5m_vwap_off90_cross,7,0.429,-28.51,2026-06-01 15:15:35.431415+02,2026-06-01 18:35:52.531243+02
poly_updown_btc_15m_momo_hod,6,0.667,47.59,2026-05-26 17:46:17.029602+02,2026-05-31 22:30:19.019245+02
poly_updown_sol_5m_vwap_off60,6,0.000,-152.29,2026-06-01 14:20:50.460059+02,2026-06-01 18:20:34.371854+02
poly_sniper_v5_sol_15m_hod_eu_off60_240_rf_tr_vwap80_v6,6,0.667,-7.17,2026-05-29 09:46:01.852219+02,2026-06-01 10:46:04.648592+02
shadow_poly_updown_sol_5m_momo_v2_cvd_macd,5,0.600,19.24,2026-06-01 13:35:36.846277+02,2026-06-01 17:10:20.586468+02
poly_sniper_v5_sol_15m_rfaged_trstack_late,5,0.800,-0.06,2026-05-27 19:16:02.036855+02,2026-06-01 02:46:07.295741+02
poly_sniper_v5_sol_15m_btc_adx_btcvollow_v7,5,0.800,-2.17,2026-05-29 09:46:01.858569+02,2026-06-01 10:46:04.077204+02
poly_fast_taker_b2_nomerge_btc_5m,4,0.250,-5.94,2026-06-01 19:01:03.38129+02,2026-06-01 19:31:04.827027+02
poly_fast_taker_b2_nomerge_eth_5m,4,0.500,-1.43,2026-06-01 19:11:04.297695+02,2026-06-01 19:31:04.824881+02
poly_sniper_v5_sol_15m_rfaged_trstack_late_vL,4,0.750,-0.21,2026-05-28 13:16:03.320242+02,2026-06-01 02:46:07.677604+02
shadow_poly_updown_btc_15m_momo_v2_fairedge500_cvd30,3,0.667,17.22,2026-06-01 13:00:16.801052+02,2026-06-01 18:30:42.687907+02
poly_sniper_v5_sol_5m_depth_up_hod_session,3,0.333,-8.22,2026-05-27 20:16:06.134298+02,2026-05-28 20:21:00.445351+02
poly_fast_taker_lagv2_btc_5m,3,0.500,-35.46,2026-06-01 19:16:05.734431+02,2026-06-01 19:31:04.885282+02
poly_fast_taker_lagv2_eth_5m,3,1.000,-11.65,2026-06-01 19:16:05.428446+02,2026-06-01 19:26:30.996254+02
poly_sniper_v5_eth_5m_bb_mp_hurst_band_V10,3,0.000,-15.00,2026-06-01 14:11:06.859098+02,2026-06-01 15:06:05.371253+02
poly_sniper_v5_sol_15m_v7_base_s5_slope_str_v8,2,0.500,-4.81,2026-06-01 10:01:06.408352+02,2026-06-01 10:46:03.939728+02
poly_sniper_v5_sol_15m_v7s5_plus_eth1h_adx_v8,2,0.500,-4.81,2026-06-01 10:01:06.039419+02,2026-06-01 10:46:03.897671+02
poly_sniper_v5_sol_15m_btc_slope_pair_v7,2,0.500,-4.81,2026-06-01 10:01:06.194356+02,2026-06-01 10:46:04.282357+02
poly_sniper_v5_sol_15m_v6_j_btceth_vollow_l_ethadx_v8,2,0.500,-4.81,2026-06-01 10:01:06.039907+02,2026-06-01 10:46:03.809905+02
poly_sniper_v5_sol_15m_hod_eu_off60_240_rf_tr_vwap30_70_v6,2,0.000,-10.00,2026-05-29 13:31:02.720245+02,2026-06-01 10:46:04.180502+02
poly_updown_btc_5m_vwap_off60_f7_cross,2,0.000,-50.00,2026-06-01 14:35:45.121767+02,2026-06-01 15:35:32.096697+02
poly_sniper_v5_sol_5m_f7_mp_ema200_vwap_v6,1,0.000,-5.00,2026-06-01 06:01:07.285826+02,2026-06-01 06:01:07.285826+02
poly_fast_taker_lagv2_btc_15m,1,,-8.06,2026-06-01 19:16:20.273899+02,2026-06-01 19:16:20.273899+02
