at,sleeve_id,ws_s,slug,direction,outcome,won,fill_vwap,pnl_usd,placed
2026-06-01 23:11:06.369503+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780347900,btc-updown-5m-1780347900,DOWN,Down,true,0.8600000000000001,0.7649534883720924,5.0
2026-06-01 23:16:04.231192+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780348200,btc-updown-5m-1780348200,DOWN,Up,false,0.51,-5.0,5.0
2026-06-01 23:21:04.631674+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780348500,btc-updown-5m-1780348500,DOWN,Down,true,0.97,0.1441391752577321,5.0
2026-06-01 23:21:04.699761+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780348500,btc-updown-5m-1780348500,DOWN,Down,true,0.61,3.0602213114754098,5.0
2026-06-01 23:21:04.741687+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780348500,btc-updown-5m-1780348500,DOWN,Down,true,0.51,4.632421568627452,5.0
2026-06-01 23:21:04.773505+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780348500,btc-updown-5m-1780348500,DOWN,Down,true,0.61,3.0602213114754098,5.0
2026-06-01 23:21:04.857649+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780348500,btc-updown-5m-1780348500,DOWN,Down,true,0.95,0.24565789473684235,5.0
2026-06-01 23:21:04.950607+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780348500,btc-updown-5m-1780348500,DOWN,Down,true,0.8900000000000001,0.579477528089887,5.0
2026-06-01 23:31:04.445718+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349100,btc-updown-5m-1780349100,DOWN,Down,true,0.97,0.1441391752577321,5.0
2026-06-01 23:31:04.463024+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349100,btc-updown-5m-1780349100,DOWN,Down,true,0.75,1.5791666666666668,5.0
2026-06-01 23:31:04.616391+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349100,btc-updown-5m-1780349100,DOWN,Down,true,0.9599999999999999,0.19433333333333405,5.0
2026-06-01 23:31:04.710288+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349100,btc-updown-5m-1780349100,DOWN,Down,true,0.9900000000000001,0.047005050505050015,5.0
2026-06-01 23:31:04.790454+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349100,btc-updown-5m-1780349100,DOWN,Down,true,0.88,0.6398181818181817,5.0
2026-06-01 23:31:04.825762+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349100,btc-updown-5m-1780349100,DOWN,Down,true,0.9599999999999999,0.19433333333333405,5.0
2026-06-01 23:36:04.272958+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349400,btc-updown-5m-1780349400,DOWN,Down,true,0.8700000000000001,0.7016264367816085,5.0
2026-06-01 23:36:04.280048+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349400,btc-updown-5m-1780349400,DOWN,Down,true,0.51,4.632421568627452,5.0
2026-06-01 23:36:04.455531+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349400,btc-updown-5m-1780349400,DOWN,Down,true,0.88,0.6398181818181817,5.0
2026-06-01 23:36:04.458841+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349400,btc-updown-5m-1780349400,DOWN,Down,true,0.59,3.3310762711864412,5.0
2026-06-01 23:41:05.876564+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349700,btc-updown-5m-1780349700,DOWN,Down,true,0.55,3.93340909090909,5.0
2026-06-01 23:41:05.908876+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349700,btc-updown-5m-1780349700,DOWN,Down,true,0.69,2.1378768115942033,5.0
2026-06-01 23:41:06.029095+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349700,btc-updown-5m-1780349700,DOWN,Down,true,0.58,3.473689655172415,5.0
2026-06-01 23:41:06.076526+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349700,btc-updown-5m-1780349700,DOWN,Down,true,0.81,1.1063395061728392,5.0
2026-06-01 23:41:06.158383+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349700,btc-updown-5m-1780349700,DOWN,Down,true,0.57,3.621429824561404,5.0
2026-06-01 23:41:06.17114+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349700,btc-updown-5m-1780349700,DOWN,Down,true,0.51,4.632421568627452,5.0
2026-06-01 23:41:06.211418+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780349700,btc-updown-5m-1780349700,DOWN,Down,true,0.51,4.632421568627452,5.0
2026-06-01 23:46:05.29753+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780350000,btc-updown-5m-1780350000,DOWN,Down,true,0.8600000000000001,0.7649534883720924,5.0
2026-06-01 23:46:05.36566+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780350000,btc-updown-5m-1780350000,DOWN,Down,true,0.66,2.456757575757575,5.0
2026-06-01 23:46:05.392659+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780350000,btc-updown-5m-1780350000,DOWN,Down,true,0.77,1.4130064935064934,5.0
2026-06-01 23:51:01.074067+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780350300,btc-updown-5m-1780350300,DOWN,Up,false,0.59,-5.0,5.0
2026-06-01 23:56:02.554036+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780350600,btc-updown-5m-1780350600,DOWN,Down,true,0.55,3.93340909090909,5.0
2026-06-02 00:01:09.097466+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780350900,btc-updown-5m-1780350900,DOWN,Down,true,0.9,0.5205555555555553,5.0
2026-06-02 00:01:09.263494+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780350900,btc-updown-5m-1780350900,DOWN,Down,true,0.72,1.8464444444444446,5.0
2026-06-02 00:01:09.339042+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780350900,btc-updown-5m-1780350900,DOWN,Down,true,0.88,0.6398181818181817,5.0
2026-06-02 00:01:09.475176+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780350900,btc-updown-5m-1780350900,DOWN,Down,true,0.9400000000000001,0.2981489361702125,5.0
2026-06-02 00:01:09.598666+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780350900,btc-updown-5m-1780350900,DOWN,Down,true,0.67,2.3471865671641785,5.0
2026-06-02 00:01:09.658081+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780350900,btc-updown-5m-1780350900,DOWN,Down,true,0.71,1.940753521126761,5.0
2026-06-02 00:06:07.054886+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780351200,btc-updown-5m-1780351200,DOWN,Down,true,0.83,0.9645963855421689,5.0
2026-06-02 00:06:07.065392+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780351200,btc-updown-5m-1780351200,DOWN,Down,true,0.9900000000000001,0.047005050505050015,5.0
2026-06-02 00:06:07.150776+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780351200,btc-updown-5m-1780351200,DOWN,Down,true,0.79,1.2556139240506328,5.0
2026-06-02 00:06:07.298379+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780351200,btc-updown-5m-1780351200,DOWN,Down,true,0.9599999999999999,0.19433333333333405,5.0
2026-06-02 00:06:07.316516+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780351200,btc-updown-5m-1780351200,DOWN,Down,true,0.98,0.09504081632653069,5.0
2026-06-02 00:06:07.365907+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780351200,btc-updown-5m-1780351200,DOWN,Down,true,0.9599999999999999,0.19433333333333405,5.0
2026-06-02 00:11:05.108914+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780351500,btc-updown-5m-1780351500,DOWN,Up,false,0.97,-5.0,5.0
2026-06-02 00:11:05.127949+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780351500,btc-updown-5m-1780351500,DOWN,Up,false,0.52,-5.0,5.0
2026-06-02 00:11:05.176601+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780351500,btc-updown-5m-1780351500,DOWN,Up,false,0.74,-5.0,5.0
2026-06-02 00:11:05.324209+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780351500,btc-updown-5m-1780351500,DOWN,Up,false,0.8600000000000001,-5.0,5.0
2026-06-02 00:11:05.360375+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780351500,btc-updown-5m-1780351500,DOWN,Up,false,0.750809313935801,-5.0,5.0
2026-06-02 00:11:05.605539+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780351500,btc-updown-5m-1780351500,DOWN,Up,false,0.9199999999999999,-5.0,5.0
2026-06-02 00:11:05.609825+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780351500,btc-updown-5m-1780351500,DOWN,Up,false,0.95,-5.0,5.0
2026-06-02 00:36:07.026276+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353000,btc-updown-5m-1780353000,UP,Down,false,0.9,-5.0,5.0
