sleeve,filter,n,wr,avg,sum
poly_updown_sol_15m_momo_v2,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_sol_15m_momo_v2,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_sol_15m_momo_v2,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_sol_15m_momo_v2,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_sol_15m_sniper,BASELINE_ALL,117,55.56,-1.27,-148.57
poly_updown_sol_15m_sniper,F7_only,92,60.87,-1.579,-145.24
poly_updown_sol_15m_sniper,MARKOV:w20_1m_voladaptive,79,64.56,-0.409,-32.31
poly_updown_sol_15m_sniper,F7+MARKOV:w20_1m_voladaptive,79,64.56,-0.409,-32.31
poly_updown_sol_15m_sniper,MARKOV:w20_5m_voladaptive,48,75.0,6.801,326.44
poly_updown_sol_15m_sniper,F7+MARKOV:w20_5m_voladaptive,40,90.0,8.509,340.38
poly_updown_sol_15m_sniper,MARKOV:w20_1m_fixed,32,87.5,1.365,43.67
poly_updown_sol_15m_sniper,F7+MARKOV:w20_1m_fixed,32,87.5,1.365,43.67
poly_updown_sol_15m_sniper,MARKOV:w20_5m_fixed,16,100.0,24.578,393.25
poly_updown_sol_15m_sniper,F7+MARKOV:w20_5m_fixed,16,100.0,24.578,393.25
poly_updown_sol_15m_volume_INV_NIGHT,BASELINE_ALL,117,30.77,-10.765,-1259.47
poly_updown_sol_15m_volume_INV_NIGHT,F7_only,56,14.29,-18.64,-1043.81
poly_updown_sol_15m_volume_INV_NIGHT,MARKOV:w20_1m_voladaptive,28,0.0,-25.678,-718.98
poly_updown_sol_15m_volume_INV_NIGHT,F7+MARKOV:w20_1m_voladaptive,28,0.0,-25.678,-718.98
poly_updown_sol_15m_volume_INV_NIGHT,MARKOV:w20_5m_voladaptive,50,28.0,-12.115,-605.73
poly_updown_sol_15m_volume_INV_NIGHT,F7+MARKOV:w20_5m_voladaptive,36,11.11,-20.186,-726.69
poly_updown_sol_15m_volume_INV_NIGHT,MARKOV:w20_1m_fixed,8,0.0,-25.875,-207.0
poly_updown_sol_15m_volume_INV_NIGHT,F7+MARKOV:w20_1m_fixed,8,0.0,-25.875,-207.0
poly_updown_sol_15m_volume_INV_NIGHT,MARKOV:w20_5m_fixed,8,0.0,-25.875,-207.0
poly_updown_sol_15m_volume_INV_NIGHT,F7+MARKOV:w20_5m_fixed,8,0.0,-25.875,-207.0
poly_updown_sol_5m_momo,BASELINE_ALL,60,70.0,9.273,556.41
poly_updown_sol_5m_momo,F7_only,45,73.33,10.976,493.92
poly_updown_sol_5m_momo,MARKOV:w20_1m_voladaptive,60,70.0,9.273,556.41
poly_updown_sol_5m_momo,F7+MARKOV:w20_1m_voladaptive,45,73.33,10.976,493.92
poly_updown_sol_5m_momo,MARKOV:w20_5m_voladaptive,12,100.0,18.299,219.59
poly_updown_sol_5m_momo,F7+MARKOV:w20_5m_voladaptive,6,100.0,12.637,75.82
poly_updown_sol_5m_momo,MARKOV:w20_1m_fixed,30,100.0,24.344,730.33
poly_updown_sol_5m_momo,F7+MARKOV:w20_1m_fixed,30,100.0,24.344,730.33
poly_updown_sol_5m_momo,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_momo,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_momo_v2,BASELINE_ALL,109,73.39,7.303,795.98
poly_updown_sol_5m_momo_v2,F7_only,106,75.47,8.233,872.72
poly_updown_sol_5m_momo_v2,MARKOV:w20_1m_voladaptive,109,73.39,7.303,795.98
poly_updown_sol_5m_momo_v2,F7+MARKOV:w20_1m_voladaptive,106,75.47,8.233,872.72
poly_updown_sol_5m_momo_v2,MARKOV:w20_5m_voladaptive,73,76.71,7.098,518.16
poly_updown_sol_5m_momo_v2,F7+MARKOV:w20_5m_voladaptive,70,80.0,8.499,594.9
poly_updown_sol_5m_momo_v2,MARKOV:w20_1m_fixed,88,90.91,13.828,1216.91
poly_updown_sol_5m_momo_v2,F7+MARKOV:w20_1m_fixed,88,90.91,13.828,1216.91
poly_updown_sol_5m_momo_v2,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_momo_v2,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_sniper,BASELINE_ALL,77,42.86,-3.191,-245.72
poly_updown_sol_5m_sniper,F7_only,76,42.11,-3.535,-268.69
poly_updown_sol_5m_sniper,MARKOV:w20_1m_voladaptive,76,42.11,-3.535,-268.69
poly_updown_sol_5m_sniper,F7+MARKOV:w20_1m_voladaptive,76,42.11,-3.535,-268.69
poly_updown_sol_5m_sniper,MARKOV:w20_5m_voladaptive,47,42.55,-2.402,-112.89
poly_updown_sol_5m_sniper,F7+MARKOV:w20_5m_voladaptive,47,42.55,-2.402,-112.89
poly_updown_sol_5m_sniper,MARKOV:w20_1m_fixed,34,23.53,-10.917,-371.19
poly_updown_sol_5m_sniper,F7+MARKOV:w20_1m_fixed,34,23.53,-10.917,-371.19
poly_updown_sol_5m_sniper,MARKOV:w20_5m_fixed,26,30.77,3.754,97.59
poly_updown_sol_5m_sniper,F7+MARKOV:w20_5m_fixed,26,30.77,3.754,97.59
poly_updown_sol_5m_sniper_INV,BASELINE_ALL,69,52.17,-0.796,-54.9
poly_updown_sol_5m_sniper_INV,F7_only,1,0.0,-25.946,-25.95
poly_updown_sol_5m_sniper_INV,MARKOV:w20_1m_voladaptive,0,0.0,0.0,0.0
poly_updown_sol_5m_sniper_INV,F7+MARKOV:w20_1m_voladaptive,0,0.0,0.0,0.0
poly_updown_sol_5m_sniper_INV,MARKOV:w20_5m_voladaptive,17,70.59,8.238,140.04
poly_updown_sol_5m_sniper_INV,F7+MARKOV:w20_5m_voladaptive,1,0.0,-25.946,-25.95
poly_updown_sol_5m_sniper_INV,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_sniper_INV,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_sniper_INV,MARKOV:w20_5m_fixed,4,50.0,-1.647,-6.59
poly_updown_sol_5m_sniper_INV,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_v3,BASELINE_ALL,19,68.42,6.855,130.24
poly_updown_sol_5m_v3,F7_only,19,68.42,6.855,130.24
poly_updown_sol_5m_v3,MARKOV:w20_1m_voladaptive,18,72.22,8.652,155.74
poly_updown_sol_5m_v3,F7+MARKOV:w20_1m_voladaptive,18,72.22,8.652,155.74
poly_updown_sol_5m_v3,MARKOV:w20_5m_voladaptive,3,100.0,15.636,46.91
poly_updown_sol_5m_v3,F7+MARKOV:w20_5m_voladaptive,3,100.0,15.636,46.91
poly_updown_sol_5m_v3,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_v3,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_v3,MARKOV:w20_5m_fixed,2,100.0,24.826,49.65
poly_updown_sol_5m_v3,F7+MARKOV:w20_5m_fixed,2,100.0,24.826,49.65
poly_updown_sol_5m_v3_1,BASELINE_ALL,17,76.47,10.624,180.62
poly_updown_sol_5m_v3_1,F7_only,17,76.47,10.624,180.62
poly_updown_sol_5m_v3_1,MARKOV:w20_1m_voladaptive,16,81.25,12.882,206.11
poly_updown_sol_5m_v3_1,F7+MARKOV:w20_1m_voladaptive,16,81.25,12.882,206.11
poly_updown_sol_5m_v3_1,MARKOV:w20_5m_voladaptive,3,100.0,15.636,46.91
poly_updown_sol_5m_v3_1,F7+MARKOV:w20_5m_voladaptive,3,100.0,15.636,46.91
poly_updown_sol_5m_v3_1,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_v3_1,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_v3_1,MARKOV:w20_5m_fixed,2,100.0,24.826,49.65
poly_updown_sol_5m_v3_1,F7+MARKOV:w20_5m_fixed,2,100.0,24.826,49.65
poly_updown_sol_5m_v3_2,BASELINE_ALL,14,78.57,11.306,158.29
poly_updown_sol_5m_v3_2,F7_only,14,78.57,11.306,158.29
poly_updown_sol_5m_v3_2,MARKOV:w20_1m_voladaptive,14,78.57,11.306,158.29
poly_updown_sol_5m_v3_2,F7+MARKOV:w20_1m_voladaptive,14,78.57,11.306,158.29
poly_updown_sol_5m_v3_2,MARKOV:w20_5m_voladaptive,3,100.0,15.636,46.91
poly_updown_sol_5m_v3_2,F7+MARKOV:w20_5m_voladaptive,3,100.0,15.636,46.91
poly_updown_sol_5m_v3_2,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_v3_2,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_v3_2,MARKOV:w20_5m_fixed,2,100.0,24.826,49.65
poly_updown_sol_5m_v3_2,F7+MARKOV:w20_5m_fixed,2,100.0,24.826,49.65
poly_updown_sol_5m_v3_3,BASELINE_ALL,14,78.57,11.306,158.29
poly_updown_sol_5m_v3_3,F7_only,14,78.57,11.306,158.29
poly_updown_sol_5m_v3_3,MARKOV:w20_1m_voladaptive,14,78.57,11.306,158.29
poly_updown_sol_5m_v3_3,F7+MARKOV:w20_1m_voladaptive,14,78.57,11.306,158.29
poly_updown_sol_5m_v3_3,MARKOV:w20_5m_voladaptive,3,100.0,15.636,46.91
poly_updown_sol_5m_v3_3,F7+MARKOV:w20_5m_voladaptive,3,100.0,15.636,46.91
poly_updown_sol_5m_v3_3,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_v3_3,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_v3_3,MARKOV:w20_5m_fixed,2,100.0,24.826,49.65
poly_updown_sol_5m_v3_3,F7+MARKOV:w20_5m_fixed,2,100.0,24.826,49.65
poly_updown_sol_5m_v4,BASELINE_ALL,14,78.57,11.306,158.29
poly_updown_sol_5m_v4,F7_only,14,78.57,11.306,158.29
poly_updown_sol_5m_v4,MARKOV:w20_1m_voladaptive,14,78.57,11.306,158.29
poly_updown_sol_5m_v4,F7+MARKOV:w20_1m_voladaptive,14,78.57,11.306,158.29
poly_updown_sol_5m_v4,MARKOV:w20_5m_voladaptive,3,100.0,15.636,46.91
poly_updown_sol_5m_v4,F7+MARKOV:w20_5m_voladaptive,3,100.0,15.636,46.91
poly_updown_sol_5m_v4,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_v4,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
poly_updown_sol_5m_v4,MARKOV:w20_5m_fixed,2,100.0,24.826,49.65
poly_updown_sol_5m_v4,F7+MARKOV:w20_5m_fixed,2,100.0,24.826,49.65
poly_updown_sol_5m_volume_INV_NIGHT,BASELINE_ALL,122,64.75,5.27,642.94
poly_updown_sol_5m_volume_INV_NIGHT,F7_only,31,38.71,-6.757,-209.48
poly_updown_sol_5m_volume_INV_NIGHT,MARKOV:w20_1m_voladaptive,20,20.0,-16.107,-322.13
poly_updown_sol_5m_volume_INV_NIGHT,F7+MARKOV:w20_1m_voladaptive,20,20.0,-16.107,-322.13
poly_updown_sol_5m_volume_INV_NIGHT,MARKOV:w20_5m_voladaptive,41,56.1,1.371,56.2
poly_updown_sol_5m_volume_INV_NIGHT,F7+MARKOV:w20_5m_voladaptive,20,30.0,-11.219,-224.37
poly_updown_sol_5m_volume_INV_NIGHT,MARKOV:w20_1m_fixed,6,0.0,-26.147,-156.88
poly_updown_sol_5m_volume_INV_NIGHT,F7+MARKOV:w20_1m_fixed,6,0.0,-26.147,-156.88
poly_updown_sol_5m_volume_INV_NIGHT,MARKOV:w20_5m_fixed,8,0.0,-26.06,-208.48
poly_updown_sol_5m_volume_INV_NIGHT,F7+MARKOV:w20_5m_fixed,6,0.0,-26.147,-156.88
