sleeve_a,sleeve_b,n_a,n_b,jaccard_fire,jaccard_slug,inter_fires,union_fires,inter_slugs,union_slugs,cov_smaller
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_15M_TRSTACK_VWAP_VOL_OFFEARLY_V5,258,107,0.0,0.0,0,365,0,365,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_5M_CLOUD_MP_SMS_ACTIVE_OFF120_V5,258,124,0.0,0.0,0,382,0,382,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_5M_TR200_MP_MPNX_SMS_OFF120_V5,258,16,0.0,0.0,0,274,0,274,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_5M_TR200_MP_SMS_ACTIVE_OFF120_V5,258,120,0.0,0.0,0,378,0,378,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_15M_RFAGED_TRSTACK_LATE_V5,258,297,0.0,0.0,0,555,0,541,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_15M_TRSTACK_VOL_RIBBON_EMA_MID_V5,258,103,0.0,0.0,0,361,0,347,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_5M_DEPTH_UP_HOD_SESSION_V5,258,90,0.0,0.0,0,348,0,332,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_5M_RF_TR_PARTIAL_MID_V5,258,207,0.0,0.0,0,465,0,454,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_5M_RF_TR_PP_MID_V5,258,126,0.0,0.0,0,384,0,379,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC_15M_EMA200_MPSKEW_RF_OFF600_DOWN_V6,258,526,0.45454545454545453,0.45454545454545453,245,539,245,539,0.9496124031007752
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC_15M_EMA800_RIBSLP_HAWKES_OFF840_V6,258,353,0.0,0.0391156462585034,0,611,23,588,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC_15M_VWAPPREM_EMA50_MPSKEW_OFF600_V6,258,359,0.12797074954296161,0.12797074954296161,70,547,70,547,0.2713178294573643
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_15M_PW_TRENDSLOPE_TRSTACK_VWAP_VOL_OFFEARLY_V6,258,63,0.0,0.0,0,321,0,321,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_15M_TRSTACK_VWAP_VOL_OFFEARLY_BAND_V6,258,90,0.0,0.0,0,348,0,348,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_5M_BB_MP_HURST_BAND_V6,258,162,0.0,0.0,0,420,0,420,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_5M_CLOUD_RIBBON_MP_HURST_V6,258,481,0.0,0.0,0,739,0,739,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_5M_V5_REPL_OFF120_V6,258,120,0.0,0.0,0,378,0,378,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_15M_HOD_EU_OFF60_240_RF_TR_VWAP80_V6,258,336,0.0,0.0,0,594,0,519,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_15M_HOD_EU_TIGHTRIB_RF_TR_VWAP80_V6,258,749,0.0,0.0,0,1007,0,665,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_5M_CCI_F7_MFI_PARTIAL_VWAP_V6,258,183,0.0,0.0,0,441,0,416,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_5M_F7_MFI_EMA200_VWAP_V6,258,144,0.0,0.0,0,402,0,383,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_5M_F7_MP_EMA200_VWAP_V6,258,189,0.0,0.0,0,447,0,425,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC_15M_V7_BASELINE,258,526,0.45454545454545453,0.45454545454545453,245,539,245,539,0.9496124031007752
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC_5M_V7_T1_PARENT15M_REGIME,258,526,0.0,0.0,0,784,0,490,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC_5M_V7_T2_PARENT15M_SLOPE,258,413,0.0,0.0,0,671,0,504,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC_5M_V7_T3_OFI_TS,258,689,0.0,0.0,0,947,0,699,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC_5M_V7_T4_HURST_TS_HAWKES,258,918,0.0,0.0,0,1176,0,763,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC_5M_V7_T5_PARENT15M_NOTRANGING_MPSKEW,258,219,0.0,0.0,0,477,0,355,0.0
