n_thr,flow_thr,sa_thr,asz_thr,off_thr,n,wr_follow,mean_follow,sum_follow,wr_fade,mean_fade,sum_fade
10,0.2,1.01,1000,60,325,0.6338461538461538,-0.1621509418995302,-52.69905611734731,0.36615384615384616,1.056130126374589,343.2422910717414
10,0.2,1.01,1000,120,284,0.6514084507042254,-0.20789747275473583,-59.042882262344975,0.3485915492957746,1.1394082068956364,323.5919307583607
10,0.2,1.01,1000,240,100,0.74,-0.17693881249184643,-17.693881249184642,0.26,3.4933213287060783,349.33213287060784
10,0.2,1.01,1000,270,66,0.7272727272727273,-0.18516873521668467,-12.221136524301189,0.2727272727272727,3.850681981976434,254.14501081044466
10,0.2,1.02,100,60,922,0.3720173535791757,-0.44444899820666023,-409.7819763465407,0.6279826464208242,0.6227135952941137,574.1419348611729
10,0.2,1.02,100,120,718,0.40668523676880225,-0.39593745370499916,-284.2830917601894,0.5933147632311978,0.5388402723762236,386.8873155661285
10,0.2,1.02,100,240,244,0.5778688524590164,-0.10269488386688064,-25.057551663518876,0.42213114754098363,0.4230977863587872,103.23585987154408
10,0.2,1.02,100,270,162,0.6790123456790124,0.09997918182534107,16.196627455705254,0.32098765432098764,0.10190729845698224,16.508982350031122
10,0.2,1.02,500,60,199,0.4321608040201005,-0.23966367301581115,-47.69307093014642,0.5678391959798995,0.5959183767279653,118.5877569688651
10,0.2,1.02,500,120,116,0.6637931034482759,0.18286700137494566,21.212572159493696,0.33620689655172414,-0.055102090870009265,-6.391842540921075
10,0.2,1.02,500,240,47,0.723404255319149,0.5536685406419526,26.02242141017177,0.2765957446808511,0.014305302955674244,0.6723492389166894
10,0.2,1.02,500,270,39,0.7692307692307693,0.7533404397776864,29.380277151329768,0.23076923076923078,-0.02758718469423891,-1.0759002030753175
10,0.2,1.02,1000,60,46,0.6086956521739131,-0.20060502500800195,-9.22783115036809,0.391304347826087,0.37403488620751507,17.205604765545694
10,0.2,1.02,1000,120,43,0.6511627906976745,-0.1428309570512854,-6.1417311532052725,0.3488372093023256,0.30969052949369463,13.316692768228869
10,0.3,1.005,100,60,7173,0.5569496723825457,-0.134378142408039,-963.8944154928638,0.44305032761745433,0.37529420471469205,2691.9853304184862
10,0.3,1.005,100,120,5523,0.5697990222705052,-0.14292698669159154,-789.3857474976601,0.43020097772949484,0.3980593068788461,2198.481551891867
10,0.3,1.005,100,240,1470,0.5857142857142857,-0.12408635810813187,-182.40694641895385,0.4142857142857143,1.0886116864291766,1600.2591790508895
10,0.3,1.005,100,270,677,0.6277695716395865,-0.04304110315477583,-29.138826835783238,0.3722304283604136,0.954857668615835,646.4386416529203
10,0.3,1.005,500,60,2541,0.5686737504919324,-0.12057451299396672,-306.37983751766944,0.4313262495080677,0.4110324765538094,1044.4335229232297
10,0.3,1.005,500,120,1958,0.6052093973442288,-0.10491244171628862,-205.41856088049312,0.3947906026557712,0.37104302559565455,726.5022441162916
10,0.3,1.005,500,240,399,0.631578947368421,-0.06017353714313166,-24.00924132010953,0.3684210526315789,1.3596538274214809,542.5018771411709
10,0.3,1.005,500,270,213,0.7511737089201878,0.1823154198042317,38.83318441830135,0.24882629107981222,1.1505103507197252,245.0587047033015
10,0.3,1.005,1000,60,566,0.6219081272084805,-0.10943151882870977,-61.938239657049735,0.37809187279151946,0.7173382339327765,406.0134404059515
