horizon_s,src,tgt,lag_s,corr,n
60,BTC,SOL,30,0.4139044601737696,1832444
60,BTC,SOL,60,0.03556073816178442,1832444
60,BTC,SOL,300,-0.0037807684831071774,1832444
60,ETH,BTC,0,0.8779753570602377,1832444
60,ETH,BTC,1,0.8713415169874629,1832444
60,ETH,BTC,5,0.8262867243504838,1832444
60,ETH,BTC,30,0.4631244769967963,1832444
60,ETH,BTC,60,0.02157643336853797,1832444
60,ETH,BTC,300,-0.0015909386024399467,1832444
60,ETH,SOL,0,0.8064745647632929,1832444
60,ETH,SOL,1,0.799387430873758,1832444
60,ETH,SOL,5,0.7569491319454034,1832444
60,ETH,SOL,30,0.42747053299397225,1832444
60,ETH,SOL,60,0.028019538764674157,1832444
60,ETH,SOL,300,-0.0039368941385730235,1832444
60,SOL,BTC,0,0.7797177072359914,1832444
60,SOL,BTC,1,0.7742891412794825,1832444
60,SOL,BTC,5,0.7353072242519647,1832444
60,SOL,BTC,30,0.4149594995507106,1832444
60,SOL,BTC,60,0.0300009291088601,1832444
60,SOL,BTC,300,-0.0016157620750213628,1832444
60,SOL,ETH,0,0.8064745647632929,1832444
60,SOL,ETH,1,0.7993604677817555,1832444
60,SOL,ETH,5,0.7554062815791394,1832444
60,SOL,ETH,30,0.4220440958752746,1832444
60,SOL,ETH,60,0.03200015637637099,1832444
60,SOL,ETH,300,-0.006040682696139724,1832444
300,BTC,ETH,0,0.8913228382604197,1832204
300,BTC,ETH,1,0.8895610864990043,1832204
300,BTC,ETH,5,0.8796982187068269,1832204
300,BTC,ETH,30,0.8078685631245643,1832204
300,BTC,ETH,60,0.7210165103419861,1832204
300,BTC,ETH,300,-0.02338038920850139,1832204
300,BTC,SOL,0,0.8080086238325219,1832204
300,BTC,SOL,1,0.8065813555355924,1832204
300,BTC,SOL,5,0.7983799126619658,1832204
300,BTC,SOL,30,0.7350656561915904,1832204
300,BTC,SOL,60,0.6553539947702768,1832204
300,BTC,SOL,300,-0.018364235981155313,1832204
300,ETH,BTC,0,0.8913228382604197,1832204
300,ETH,BTC,1,0.8899158469842844,1832204
300,ETH,BTC,5,0.8805514733630346,1832204
300,ETH,BTC,30,0.8046656560812305,1832204
300,ETH,BTC,60,0.7110111154182471,1832204
300,ETH,BTC,300,-0.030163388721524898,1832204
300,ETH,SOL,0,0.8308848791947359,1832204
300,ETH,SOL,1,0.8294263190354091,1832204
300,ETH,SOL,5,0.8207181081731729,1832204
300,ETH,SOL,30,0.751618386549458,1832204
300,ETH,SOL,60,0.6650953956368758,1832204
300,ETH,SOL,300,-0.028422523531247888,1832204
300,SOL,BTC,0,0.8080086238325219,1832204
300,SOL,BTC,1,0.8068629211429458,1832204
300,SOL,BTC,5,0.7988238067630409,1832204
300,SOL,BTC,30,0.7322219783515019,1832204
300,SOL,BTC,60,0.6489093699836882,1832204
300,SOL,BTC,300,-0.029066570558710352,1832204
300,SOL,ETH,0,0.8308848791947359,1832204
300,SOL,ETH,1,0.8294666027552224,1832204
300,SOL,ETH,5,0.8206630836136385,1832204
300,SOL,ETH,30,0.7530582039163343,1832204
300,SOL,ETH,60,0.6698332737990118,1832204
300,SOL,ETH,300,-0.0314075267726243,1832204
