at,slug,direction,asset,tf,sleeve_id,fire_us,book_source,fill_method,entry_vwap,exit_vwap,shares,scalp_pnl_usd,exit_trigger,delta_bps,best_bid_at_exit,exit_book_depth,sell_leg_fee_charged,tp_bid,stop_bid,side
2026-06-18 22:21:05.976668+02,btc-updown-5m-1781814000,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781814300000000,ws_mirror,l25_walk,0.5,0.521,10.0,0.03530870000000019,time60,3.128758625055017,0.53,4032.3469,0.1746913,0.65,0.4,UP
2026-06-19 11:11:05.959904+02,btc-updown-5m-1781860200,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781860500000000,ws_mirror,l25_walk,0.5,0.8699999999999999,10.0,3.620829999999999,time60,-5.132343075450185,0.87,11096.430500000002,0.07917000000000006,0.65,0.4,DOWN
2026-06-19 13:11:05.613226+02,btc-updown-5m-1781867400,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781867700000000,ws_mirror,l25_walk,0.5,0.54,10.0,0.22612000000000035,time60,-4.142797045668667,0.54,3353.163,0.17388,0.65,0.4,DOWN
2026-06-19 14:51:05.11618+02,btc-updown-5m-1781873400,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781873700000000,ws_mirror,l25_walk,0.54,0.9400000000000001,9.25925925925926,3.6671481481481485,time60,3.766992140130654,0.94,12648.835300000002,0.03655555555555553,0.65,0.44000000000000006,UP
2026-06-20 17:01:05.830278+02,btc-updown-5m-1781967600,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781967900000000,ws_mirror,l25_walk,0.54,0.3,9.25925925925926,-2.358333333333334,time60,3.767011363582373,0.3,1268.7765,0.1361111111111111,0.65,0.44000000000000006,UP
2026-06-22 02:31:05.881784+02,btc-updown-5m-1782088200,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782088500000000,ws_mirror,l25_walk,0.52,0.47000000000000003,9.615384615384615,-0.6484326923076922,time60,4.704958458103814,0.47,1898.9823999999999,0.16766346153846157,0.65,0.42000000000000004,UP
2026-06-22 09:06:06.691384+02,btc-updown-5m-1782111900,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782112200000000,ws_mirror,l25_walk,0.5,0.63,10.0,1.13683,time60,-3.3416789543150305,0.63,2968.2575,0.16317,0.65,0.4,DOWN
2026-06-22 14:01:09.900674+02,btc-updown-5m-1782129600,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782129900000000,ws_mirror,l25_walk,0.51,0.31,9.803921568627452,-2.107578431372549,time60,3.6500177397047473,0.31,2948.8408000000004,0.14679411764705882,0.65,0.41000000000000003,UP
2026-06-22 15:51:05.555857+02,btc-updown-5m-1782136200,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782136500000000,ws_mirror,l25_walk,0.47000000000000003,0.66,10.638297872340425,1.8541702127659576,time60,3.9681812629766,0.66,11544.145500000002,0.1671063829787234,0.65,0.37,UP
2026-06-22 16:11:05.515361+02,btc-updown-5m-1782137400,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782137700000000,ws_mirror,l25_walk,0.49,0.5,10.204081632653061,-0.07653061224489788,time60,3.6738817622383735,0.5,7496.0934,0.17857142857142858,0.65,0.39,UP
2026-06-23 09:36:05.853628+02,btc-updown-5m-1782200100,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782200400000000,ws_mirror,l25_walk,0.5,0.75,10.0,2.36875,time60,-3.8093731230137706,0.75,6595.5116,0.13125,0.65,0.4,DOWN
2026-06-23 10:41:05.566034+02,btc-updown-5m-1782204000,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782204300000000,ws_mirror,l25_walk,0.504950495049505,0.7,9.901960784313726,1.7858137254901956,time60,4.094305339275017,0.7,9109.891100000003,0.1455588235294118,0.65,0.404950495049505,UP
2026-06-23 16:26:05.464792+02,btc-updown-5m-1782224700,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782225000000000,ws_mirror,l25_walk,0.44,0.8199999999999998,11.363636363636363,4.200772727272725,time60,-3.3968569007714056,0.82,14413.268600000003,0.11740909090909099,0.65,0.33999999999999997,DOWN
2026-06-23 17:01:06.141872+02,btc-updown-5m-1782226800,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782227100000000,ws_mirror,l25_walk,0.5,0.69,10.0,1.7502699999999995,time60,-10.484268556650855,0.69,10584.0508,0.14973000000000003,0.65,0.4,DOWN
2026-06-23 18:06:05.100439+02,btc-updown-5m-1782230700,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782231000000000,ws_mirror,l25_walk,0.52,0.87,9.615384615384615,3.2892596153846148,time60,3.3288836134870436,0.87,14222.6595,0.076125,0.65,0.42000000000000004,UP
