strategy_id,asset,tf,variant,n_trades,win_rate,total_pnl_usd,avg_pnl_usd,sharpe_ann,calmar,max_dd_usd,profit_factor,avg_bars_held,is_n_trades,is_sharpe_ann,is_total_pnl_usd,is_win_rate,oos_n_trades,oos_sharpe_ann,oos_total_pnl_usd,oos_win_rate,oos_calmar,oos_profit_factor,oos_max_dd_usd,buy_hold_pnl_usd,perm_p_value,gate_perm_pass,gate_pf_pass,gate_calmar_pass,gate_n_pass,gate_oos_sharpe_pass,gate_beats_bh,gates_passed_n,strategy_family
C1_DOGE_4h_lb50_off0.5_trail3.0,DOGE,4h,lb50_off0.5_trail3.0,209,0.4593301435406698,1979.1967013632257,9.46984067637907,2.085528719126227,3.044136493026438,-650.1668719182614,1.6049907575588158,12.090909090909092,145,1.0230376668173191,605.3661944801818,0.4137931034482758,64,3.9618668544672446,1373.8305068830437,0.5625,7.051865052063051,2.7185985978310683,-194.81803703562423,17039.532293986635,0.014925373134328358,True,True,True,True,True,False,5,C1_atr_breakout
C1_DOGE_4h_lb50_off1.0_trail2.0,DOGE,4h,lb50_off1.0_trail2.0,110,0.3545454545454545,-479.3653563780751,-4.357866876164319,-4.417563214426902,-0.7810285974857074,-613.7615932646402,0.5995747888110825,3.763636363636364,74,-6.773514700819407,-480.2239645073692,0.2972972972972973,36,0.0240066872641995,0.858608129294061,0.4722222222222222,0.0094423067459859,1.002974606801558,-90.93203095303686,17039.532293986635,,False,False,False,False,True,False,1,C1_atr_breakout
C1_DOGE_4h_lb50_off1.0_trail3.0,DOGE,4h,lb50_off1.0_trail3.0,129,0.4263565891472868,660.2218954542084,5.117999189567507,1.0914805329319517,0.810198233902229,-814.8893293365052,1.2722115635266504,11.263565891472869,91,0.1422419692767335,53.922413607269945,0.3956043956043956,38,2.7512849794290584,606.2994818469384,0.5,3.3868056078327484,2.0950545378411185,-179.01809316859956,17039.532293986635,0.029850746268656716,True,True,True,False,True,False,4,C1_atr_breakout
C2_DOGE_4h_bb20_sq0.1_trail2.0,DOGE,4h,bb20_sq0.1_trail2.0,260,0.4230769230769231,-22.944781705598373,-0.0882491604061476,-0.0665233955964258,-0.0506622309252444,-452.8971836920275,0.9896306529146164,6.1038461538461535,186,-1.0830548779344182,-240.210000417475,0.4193548387096774,74,1.8072062121955783,214.425654111782,0.4324324324324324,2.0205085060463164,1.3408512096346876,-106.12459857017136,17039.532293986635,,False,False,True,True,True,False,3,C2_bb_squeeze
C2_DOGE_4h_bb20_sq0.2_trail2.0,DOGE,4h,bb20_sq0.2_trail2.0,346,0.4421965317919075,47.67634083555157,0.1377928925882993,0.1114528209526611,0.0927704793494304,-513.9171552188845,1.0175072143459234,6.173410404624278,242,-1.0986224332092105,-298.02174915818506,0.4214876033057851,104,2.2795379351947345,342.85852539364214,0.4903846153846153,2.387699031853361,1.426974110081345,-143.5936945233467,17039.532293986635,,False,False,True,True,True,False,3,C2_bb_squeeze
C3_DOGE_4h_lb20_off0.5_volx2_trail2.5,DOGE,4h,lb20_off0.5_volx2_trail2.5,269,0.4312267657992565,-403.6096746525116,-1.5004077124628683,-0.7358098108361921,-0.4488092480953657,-899.2900132190462,0.8883828716435497,7.788104089219331,180,-2.1413106652113814,-727.2504224707459,0.4,89,1.5649950539300472,320.80118321813944,0.4943820224719101,1.4625611273993666,1.287818847694692,-219.3420686549818,17039.532293986635,,False,False,True,True,True,False,3,C3_vol_donchian
C1_XRP_4h_lb20_off0.25_trail2.0,XRP,4h,lb20_off0.25_trail2.0,575,0.4608695652173913,1445.5564828652284,2.5140112745482237,1.9363564598867689,3.487080987929842,-414.54628896457166,1.3512737113477706,5.445217391304348,392,1.95574958321878,993.5928099242628,0.4744897959183674,183,1.895277051815821,451.96367294096575,0.4316939890710382,2.538168070349783,1.3411268633346516,-178.0668814727785,1301.85,,False,False,True,True,True,True,4,C1_atr_breakout
C1_XRP_4h_lb20_off0.25_trail3.0,XRP,4h,lb20_off0.25_trail3.0,472,0.4703389830508475,3980.8278099757135,8.433957224524816,1.724652737268662,7.500782668929821,-530.7216574165427,1.6099074058081833,14.601694915254235,322,1.9022618175616015,3086.008149601789,0.4813664596273292,151,1.2705753935102475,868.0052330260029,0.4437086092715231,2.9298518120880077,1.4197333770802627,-296.2625035999362,1301.85,,False,False,True,True,True,True,4,C1_atr_breakout
C1_XRP_4h_lb20_off0.5_trail2.0,XRP,4h,lb20_off0.5_trail2.0,434,0.456221198156682,977.0454815303408,2.251256869885577,1.8621593570247743,2.812371001601956,-347.4098833240015,1.3174767417962354,5.06221198156682,304,2.4361038634587504,928.2624435113826,0.4703947368421052,130,0.3450678625724882,48.78303801895804,0.4230769230769231,0.2541557392328259,1.04737731287054,-191.94151651349915,1301.85,,False,False,False,True,True,False,2,C1_atr_breakout
C1_XRP_4h_lb20_off0.5_trail3.0,XRP,4h,lb20_off0.5_trail3.0,384,0.4557291666666667,3272.486120413696,8.522099271910667,1.7980366030300272,7.020410052340331,-466.1388859077792,1.6161657264556295,13.955729166666666,262,2.335592936408443,3146.215207946308,0.4923664122137404,122,0.2744029170740219,126.27091246738816,0.3770491803278688,0.3643044621237209,1.0674512478741462,-346.608196153539,1301.85,,False,False,False,True,True,True,3,C1_atr_breakout
