label,family,asset,z_thresh,hold_h,z_window_d,expected_proxy,atr_exit,n_signals,status,n_trades,win_rate,total_pnl_usd,avg_pnl_usd,sharpe,g1_p,g1_pass,g2_pass,g3_wf_stable,g3_wf_mean_sharpe,g4_perm_p,g4_pass,g5_pos_folds,g5_pass,g6_boot_lo,g6_boot_hi,g6_pass,g7_regime_min_sharpe,g7_pass,all_gates_pass,avg_funding,avg_fees,mkt_corr,mkt_neutral,fund_z_filter
D1|SOL|z1.5|h168h|zwin7d|zero_fund|atr1,D1,SOL,1.5,168,7,zero_fund,1,301,OK,300,0.45,-48.206803554021334,-0.1606893451800711,-1.0808207673749495,0.09390370091881962,False,False,True,-1.1034874598781144,0.8711288711288712,False,2,True,-0.1811640561515073,0.04309613776316605,False,-2.6102286157584187,False,False,-0.012845825083332858,0.22500000000000006,,,
D1|SOL|z2.0|h168h|zwin7d|zero_fund|atr0,D1,SOL,2.0,168,7,zero_fund,0,134,OK,133,0.6165413533834586,406.10061832352807,3.0533881076957,3.459793264774214,0.00903049068721997,True,True,True,6.6297862639621075,0.005994005994005994,True,2,True,0.04942115965785623,0.40881193838349544,True,-0.8420409508021636,False,False,-0.19035287593984146,0.22500000000000003,,,
D1|SOL|z2.0|h168h|zwin7d|zero_fund|atr1,D1,SOL,2.0,168,7,zero_fund,1,134,OK,133,0.49624060150375937,13.904349410303675,0.10454398052859906,0.7470080661043215,1.0,False,True,True,0.3663985591155634,0.2817182817182817,False,2,True,-0.12958367172822233,0.20647797408770083,False,-7.854616969464274,False,False,-0.018517395676690848,0.22500000000000003,,,
D1|SOL|z2.5|h168h|zwin7d|zero_fund|atr0,D1,SOL,2.5,168,7,zero_fund,0,60,OK,59,0.7288135593220338,329.719896112998,5.588472815474542,6.770769669410391,0.0005843646280443461,True,True,True,16.592037172635674,0.000999000999000999,True,2,True,0.1468131940466025,0.8084755504329747,True,2.592086552815545,True,True,-0.19318534364405643,0.225,,,
D1|SOL|z2.5|h168h|zwin7d|zero_fund|atr1,D1,SOL,2.5,168,7,zero_fund,1,60,OK,59,0.576271186440678,25.49275056491814,0.43208051804946,2.4459349900362723,0.2975952082844287,False,True,True,2.3543303036117678,0.12387612387612387,False,3,True,-0.10764789703506425,0.4107986671309075,False,-0.8805945762755703,False,False,-0.026123825423727345,0.225,,,
D1|SOL|z3.0|h168h|zwin7d|zero_fund|atr0,D1,SOL,3.0,168,7,zero_fund,0,31,OK,30,0.8333333333333334,221.76138133199458,7.3920460443998195,11.207164765588495,0.0003249142318964005,True,True,True,42.926570080188924,0.000999000999000999,True,3,True,0.24899168220039872,1.624282332208106,True,4.436815914614088,True,True,-0.2657447874999818,0.22499999999999995,,,
D1|SOL|z3.0|h168h|zwin7d|zero_fund|atr1,D1,SOL,3.0,168,7,zero_fund,1,31,OK,30,0.5,-2.2934253709889285,-0.07644751236629761,-0.41825059422452954,1.0,False,False,False,1.4127957099076776,0.5614385614385614,False,1,False,-0.4755683262070753,0.3126446196834782,False,-6.427666636596007,False,False,-0.0340020741666645,0.22499999999999995,,,
D1|SOL|z1.0|h4h|zwin7d|term_next|atr0,D1,SOL,1.0,4,7,term_next,0,649,OK,649,0.4514637904468413,-76.59364240057062,-0.11801793898393007,-0.5486759023613555,0.014881257052091468,True,False,False,-0.9083454005628869,0.8011988011988012,False,1,False,-0.11287689043213249,0.041610747076530875,False,-4.656696986726121,False,False,-0.013042935130970509,0.22500000000000006,,,
D1|SOL|z1.0|h4h|zwin7d|term_next|atr1,D1,SOL,1.0,4,7,term_next,1,649,OK,649,0.41294298921417566,-174.3557818284255,-0.2686529766231518,-2.095438253569555,1.048876894401747e-05,True,False,False,-2.3627032527996774,1.0,False,0,False,-0.21182311938532147,-0.05469847600897674,False,-4.093991723219437,False,False,-0.006502164368258732,0.22500000000000006,,,
D1|SOL|z1.5|h4h|zwin7d|term_next|atr0,D1,SOL,1.5,4,7,term_next,0,300,OK,300,0.4533333333333333,56.48943019454084,0.18829810064846947,0.9110647356534628,0.11888633674819754,False,True,False,0.2240950988107697,0.17082917082917082,False,1,False,-0.05444982372172106,0.16500368731496634,False,-6.126043860295561,False,False,-0.01775294191666636,0.22500000000000006,,,
D1|SOL|z1.5|h4h|zwin7d|term_next|atr1,D1,SOL,1.5,4,7,term_next,1,300,OK,300,0.44333333333333336,-61.34899927680222,-0.2044966642560074,-1.4733742894518063,0.056565651254290535,False,False,True,-1.5513978062491567,0.945054945054945,False,2,True,-0.20285633861582064,0.017178890016653462,False,-2.6102286157584187,False,False,-0.010056013583333119,0.22500000000000006,,,
