strategy,asset,tf,window,auc,n_signals,n_trades,n_wins,win_rate,total_pnl_usd,avg_pnl_usd,sharpe,max_dd_usd,avg_funding_paid,avg_fees_paid,avg_bars_held,n_end_of_data,sharpe_ann,feature,z_thr,sign
F3_rf_band_pos_z1.5_momentum,ETH,15m,0,,297,296,137,0.46283783783783783,-68.64572154193463,-0.23191122142545484,-0.6957201721604837,-112.73608393805718,-0.014272751858114713,0.22500000000000003,40.0,0,-1.2971385858776112,rf_band_pos,1.5,momentum
F3_rf_band_pos_z1.5_fade,ETH,15m,0,,297,296,135,0.4560810810810811,-108.95427845806535,-0.3680887785745451,-1.104244921078736,-137.39949051841737,0.014272751858114713,0.22500000000000003,40.0,0,-2.058814380705063,rf_band_pos,1.5,fade
F1_prob_sized,ETH,15m,1,0.5376777712064171,568,568,345,0.6073943661971831,-42.32747923520702,-0.07452020992113913,-1.5201075182957005,-48.539824968537765,0.00017552761443690012,0.06364330985915492,6.278169014084507,0,-7.153845948560484,,,
F2_ensemble,ETH,15m,1,0.5384170360407339,2255,2255,1293,0.5733924611973392,-123.3428165677407,-0.05469747963092714,-1.757736789429277,-123.37036732213144,-0.0003062239566518069,0.0369599667405765,6.005764966740577,0,-8.457684000768296,,,
F3_rf_band_pos_z1.0_momentum,ETH,15m,1,,396,396,198,0.5,72.86303220750301,0.18399755607955307,0.49281100536517697,-109.23697274658939,0.006186222979800365,0.22500000000000006,39.96969696969697,0,0.919171919691726,rf_band_pos,1.0,momentum
F3_rf_band_pos_z1.0_fade,ETH,15m,1,,396,396,179,0.45202020202020204,-310.4630322075031,-0.7839975560795532,-2.0998247588047247,-310.869374040119,-0.006186222979800365,0.22500000000000006,39.96969696969697,0,-3.9165114690093707,rf_band_pos,1.0,fade
F3_rf_band_pos_z1.5_momentum,ETH,15m,1,,259,259,116,0.44787644787644787,-133.0168783842461,-0.5135786810202552,-1.4418493861898367,-188.81230802925646,-0.019267573648657468,0.22500000000000003,39.92664092664093,0,-2.6907310367772332,rf_band_pos,1.5,momentum
F3_rf_band_pos_z1.5_fade,ETH,15m,1,,259,259,123,0.4749034749034749,-22.383121615753907,-0.08642131897974481,-0.24262402301653704,-126.64047899254031,0.019267573648657468,0.22500000000000003,39.92664092664093,0,-0.45277682624223575,rf_band_pos,1.5,fade
F1_prob_sized,ETH,15m,2,0.535141023189463,506,506,312,0.616600790513834,-13.407471823907306,-0.026496979889144873,-0.4267652616846049,-25.51281387516513,-0.002140483583006505,0.075301185770751,11.003952569169961,0,-1.5170380873132299,,,
F2_ensemble,ETH,15m,2,0.5402266299998149,1852,1852,1098,0.5928725701943844,-102.43701006630914,-0.05531156051096606,-1.344458331766852,-109.91723157808562,-0.0007057845296711589,0.04119115820734341,7.605291576673866,0,-5.748720457087376,,,
