sleeve_id,cohort,gate_stack,depth,n_train,n_val,n_lockbox,n_full,wr_train,wr_val,wr_lockbox,wr_full,dpt_25,dpt_train,dpt_val,dpt_full,sum_25_28d,sum_lockbox,max_dd_25,max_dd_full,loss_streak,loss_streak_full,sharpe,sharpe_full,n_days_lock,n_days_full,fires_per_day,fires_per_day_lock,days_lock,days_full,bootstrap_p_lockbox,bootstrap_p_full
GR_FULL_k5_n20,33D,g_above_1h_dailyvwap_with&g_offset_early&g_rf_aged&g_ribbon_slope_with&g_tight_ribbon,5,93,23,19,135,64.51612903225806,47.82608695652174,73.68421052631578,62.96296296296296,5.601396773860422,5.170811902812377,-2.992033205689793,3.8407057921039556,518.495281934034,106.42653870334803,25.0,179.60433044559892,1,3,18.73906608304177,5.9086231255731905,4,28,4.21875,4.75,4.0,32.0,0.0001,0.017
GR_FULL_k5_n40,33D,g_above_1h_dailyvwap_with&g_offset_early&g_rf_aged&g_ribbon_slope_with&g_tight_ribbon,5,93,23,19,135,64.51612903225806,47.82608695652174,73.68421052631578,62.96296296296296,5.601396773860422,5.170811902812377,-2.992033205689793,3.8407057921039556,518.495281934034,106.42653870334803,25.0,179.60433044559892,1,3,18.73906608304177,5.9086231255731905,4,28,4.21875,4.75,4.0,32.0,0.0001,0.017
GR_FULL_k5_n80,33D,g_above_1h_dailyvwap_with&g_offset_early&g_rf_aged&g_ribbon_slope_with&g_tight_ribbon,5,93,23,19,135,64.51612903225806,47.82608695652174,73.68421052631578,62.96296296296296,5.601396773860422,5.170811902812377,-2.992033205689793,3.8407057921039556,518.495281934034,106.42653870334803,25.0,179.60433044559892,1,3,18.73906608304177,5.9086231255731905,4,28,4.21875,4.75,4.0,32.0,0.0001,0.017
GR_MP31_k3_n20,31D,g_above_1h_dailyvwap_with&g_mp_change_with&g_tr_within_adr,3,354,101,59,514,62.14689265536724,56.43564356435643,64.40677966101694,61.284046692607006,9.883918970140366,6.252853001105717,-3.36284194387515,4.78018316205898,2457.0141452983157,583.1512192382816,141.83333333333331,613.7278681407893,3,8,13.251319478468526,7.617458789776333,4,27,16.580645161290324,14.75,4.0,31.0,0.063,0.004
GR_MP31_k3_n40,31D,g_above_1h_dailyvwap_with&g_mp_change_with&g_tr_within_adr,3,354,101,59,514,62.14689265536724,56.43564356435643,64.40677966101694,61.284046692607006,9.883918970140366,6.252853001105717,-3.36284194387515,4.78018316205898,2457.0141452983157,583.1512192382816,141.83333333333331,613.7278681407893,3,8,13.251319478468526,7.617458789776333,4,27,16.580645161290324,14.75,4.0,31.0,0.063,0.004
GR_MP31_k3_n80,31D,g_above_1h_dailyvwap_with&g_mp_change_with&g_tr_within_adr,3,354,101,59,514,62.14689265536724,56.43564356435643,64.40677966101694,61.284046692607006,9.883918970140366,6.252853001105717,-3.36284194387515,4.78018316205898,2457.0141452983157,583.1512192382816,141.83333333333331,613.7278681407893,3,8,13.251319478468526,7.617458789776333,4,27,16.580645161290324,14.75,4.0,31.0,0.063,0.004
GR_MP31_k4_n20,31D,g_above_1h_dailyvwap_with&g_mp_change_with&g_tr_within_adr&g_mp_weighted_skew_with,4,167,51,30,248,50.29940119760479,31.372549019607842,53.333333333333336,46.774193548387096,12.373346968882467,12.130345633423644,-9.553171182684133,7.700630643271499,1909.7563995313317,371.20040906647404,121.03494237053015,720.6683682305304,3,15,13.74110760888379,6.555877801429392,3,26,8.0,7.5,4.0,31.0,0.032,0.019
GR_MP31_k4_n40,31D,g_above_1h_dailyvwap_with&g_mp_change_with&g_tr_within_adr&g_mp_weighted_skew_with,4,167,51,30,248,50.29940119760479,31.372549019607842,53.333333333333336,46.774193548387096,12.373346968882467,12.130345633423644,-9.553171182684133,7.700630643271499,1909.7563995313317,371.20040906647404,121.03494237053015,720.6683682305304,3,15,13.74110760888379,6.555877801429392,3,26,8.0,7.5,4.0,31.0,0.032,0.019
GR_MP31_k4_n80,31D,g_above_1h_dailyvwap_with&g_mp_change_with&g_tr_within_adr&g_mp_weighted_skew_with,4,167,51,30,248,50.29940119760479,31.372549019607842,53.333333333333336,46.774193548387096,12.373346968882467,12.130345633423644,-9.553171182684133,7.700630643271499,1909.7563995313317,371.20040906647404,121.03494237053015,720.6683682305304,3,15,13.74110760888379,6.555877801429392,3,26,8.0,7.5,4.0,31.0,0.032,0.019
GR_MP31_k5_n20,31D,g_above_1h_dailyvwap_with&g_mp_change_with&g_tr_within_adr&g_mp_weighted_skew_with&g_offset_late,5,52,22,18,92,46.15384615384615,13.636363636363635,61.111111111111114,41.30434782608695,23.585544148537206,25.366016849630146,-20.468122941469662,14.057325718935918,1293.2739661421044,424.5397946736697,50.0,575.051230203252,2,8,17.378546394696226,5.395586569817948,3,23,2.967741935483871,4.5,4.0,31.0,0.032,0.036
GR_MP31_k5_n40,31D,g_above_1h_dailyvwap_with&g_mp_change_with&g_tr_within_adr&g_mp_weighted_skew_with&g_offset_late,5,52,22,18,92,46.15384615384615,13.636363636363635,61.111111111111114,41.30434782608695,23.585544148537206,25.366016849630146,-20.468122941469662,14.057325718935918,1293.2739661421044,424.5397946736697,50.0,575.051230203252,2,8,17.378546394696226,5.395586569817948,3,23,2.967741935483871,4.5,4.0,31.0,0.032,0.036
GR_MP31_k5_n80,31D,g_above_1h_dailyvwap_with&g_mp_change_with&g_tr_within_adr&g_mp_weighted_skew_with&g_mp_skew_with,5,120,41,22,183,51.66666666666667,31.70731707317073,63.63636363636363,48.63387978142077,22.226370812296228,14.898138673921872,-8.828509891849592,10.463321820630101,1914.7878931753085,488.980157870517,71.03494237053015,570.1617457302314,2,13,19.19781432389642,7.017519375682092,3,26,5.903225806451613,5.5,4.0,31.0,0.0001,0.01
GR_REG28_k3_n20,31D,g_tr_stack_full_with&g_mp_change_with&g_mp_weighted_skew_with,3,86,22,12,120,70.93023255813954,54.54545454545454,66.66666666666666,67.5,1.166855321099038,3.634040614390237,-2.7381872130304723,2.219080316700654,266.2896380040785,14.002263853188456,51.36408870001443,170.65235996162994,2,5,3.0169128116229658,3.0405314486500017,3,29,3.870967741935484,3.0,4.0,31.0,0.291,0.124
GR_REG28_k3_n40,31D,g_tr_stack_full_with&g_mp_change_with&g_mp_weighted_skew_with,3,86,22,12,120,70.93023255813954,54.54545454545454,66.66666666666666,67.5,1.166855321099038,3.634040614390237,-2.7381872130304723,2.219080316700654,266.2896380040785,14.002263853188456,51.36408870001443,170.65235996162994,2,5,3.0169128116229658,3.0405314486500017,3,29,3.870967741935484,3.0,4.0,31.0,0.291,0.124
GR_REG28_k3_n80,31D,g_tr_stack_full_with&g_mp_change_with&g_above_1h_dailyvwap_with,3,145,44,25,214,82.06896551724138,84.0909090909091,88.0,83.17757009345794,4.029420183249113,2.634569963769838,1.6441466450812607,2.59388131640855,555.0906017114297,100.73550458122781,25.0,129.99746141704327,1,3,13.45171999819772,6.908376270471869,4,31,6.903225806451613,6.25,4.0,31.0,0.026,0.022
GR_REG28_k4_n20,31D,g_tr_stack_full_with&g_mp_change_with&g_mp_weighted_skew_with&g_tr_above_pp,4,45,13,3,61,75.55555555555556,38.46153846153847,33.33333333333333,65.57377049180327,-7.686055296897471,6.701208821339654,-10.926149702164677,2.236988277728709,136.45628494145126,-23.05816589069241,25.0,167.03994612814083,1,3,-9.606891243595312,1.9951603495491492,2,27,1.967741935483871,0.75,4.0,31.0,,0.239
