variant,version,fire_offset_s,slug,asset,tf,ws,day,signal,outcome,ret_2m,exit_reason,vwap_e,shares_e,usd_e,fee_in,pnl,fired,slot_start_s,window_s,ws_s,ws_us,fire_us,won,rsi_14,f7_pass,regime_w20_1m_voladaptive,markov_pass_w20_1m_voladaptive,regime_w20_1m_fixed,markov_pass_w20_1m_fixed,regime_w20_5m_voladaptive,markov_pass_w20_5m_voladaptive,regime_w20_5m_fixed,markov_pass_w20_5m_fixed
SELL_5bp,v1,-180,btc-updown-5m-1777563300,BTC,5m,1777563300,2026-04-30,UP,Up,0.0010254870802358,sell_5bp,0.5,50.0,25.0,0.8750000000000001,24.125,True,1777563300,300,1777563000,1777563000000000,1777563120000000,True,67.55073878361611,True,2,True,1,False,0,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777564200,BTC,5m,1777564200,2026-04-30,DOWN,Up,-0.0016208617201684,sell_5bp,0.5022651150677722,49.774510014749225,25.0,0.8710360486313987,-25.8710360486314,True,1777564200,300,1777563900,1777563900000000,1777564020000000,False,43.560841573237674,True,0,True,1,False,1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777565100,BTC,5m,1777565100,2026-04-30,DOWN,Down,-0.0013202807612211,sell_5bp,0.5299999713897705,47.1698138670551,25.0,0.8225000500679017,21.347313816987196,True,1777565100,300,1777564800,1777564800000000,1777564920000000,True,60.35469107551497,False,0,True,1,False,2,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777570500,BTC,5m,1777570500,2026-04-30,UP,Down,0.000695028056881,sell_5bp,0.5299999713897705,47.1698138670551,25.0,0.8225000500679017,-25.8225000500679,True,1777570500,300,1777570200,1777570200000000,1777570320000000,False,42.06878266797938,False,0,False,1,False,0,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777580400,BTC,5m,1777580400,2026-04-30,DOWN,Up,-0.0014670422492237,sell_5bp,0.5099999904632568,49.01960875977925,25.0,0.8575000166893006,-25.8575000166893,True,1777580400,300,1777580100,1777580100000000,1777580220000000,False,54.95401246676415,False,0,True,1,False,1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777618500,BTC,5m,1777618500,2026-05-01,DOWN,Up,-0.0007919269096577,sell_5bp,0.6100000143051147,40.9836055962702,25.0,0.6824999749660492,-25.68249997496605,True,1777618500,300,1777618200,1777618200000000,1777618320000000,False,25.752207565682426,True,0,True,1,False,1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777618800,BTC,5m,1777618800,2026-05-01,UP,Down,0.0014469050810924,sell_5bp,0.5,50.0,25.0,0.8750000000000001,-25.875,True,1777618800,300,1777618500,1777618500000000,1777618620000000,False,44.19861075379413,False,1,False,1,False,0,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777620300,BTC,5m,1777620300,2026-05-01,UP,Down,0.0007646554404929,sell_5bp,0.4900000095367431,51.02040717026833,25.0,0.8924999833106996,-25.8924999833107,True,1777620300,300,1777620000,1777620000000000,1777620120000000,False,56.20096757321979,True,2,True,1,False,1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777634700,BTC,5m,1777634700,2026-05-01,UP,Down,0.0010167374011698,sell_5bp,0.4699999988079071,53.19148949661531,25.0,0.9275000020861626,-25.927500002086163,True,1777634700,300,1777634400,1777634400000000,1777634520000000,False,79.82093370283472,True,2,True,1,False,1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777642800,BTC,5m,1777642800,2026-05-01,UP,Up,0.0007902792877868,sell_5bp,0.4799999892711639,52.083334497486575,25.0,0.9100000187754632,26.173334478711112,True,1777642800,300,1777642500,1777642500000000,1777642620000000,True,63.679167807278816,True,2,True,1,False,2,True,2,True
