band,off_lo,off_hi,stack,n_t,wr_t,dpt_t,sum_t,dd_t,ls_t,shp_t,n_v,wr_v,dpt_v,sum_v,dd_v,ls_v,shp_v,n_l,wr_l,dpt_l,sum_l,dd_l,ls_l,shp_l,np_d_l,score
mid,90,180,g_rf_strict_align+g_ribbon_slope_with+g_tr_full_stack_with+g_tr_partial_stack_with,65,0.8307692307692308,3.5749433890900417,232.3713202908527,73.71052599217423,2,7.7831735857351605,25,0.84,0.05383121124100114,1.3457802810250286,82.03058589799879,1,0.12007258563685526,33,0.8787878787878788,4.3184958939333855,142.5103644998017,25.0,1,14.664994679924481,3.6666666666666665,5.8184958939333855
early,30,90,g_depth_250_strict+g_dir_up+g_hod_us_afternoon+g_rf_with,32,0.96875,3.0630942875520715,98.01901720166629,25.0,1,10.980980068200763,7,0.7142857142857143,-3.668315944783472,-25.678211613484304,48.71052599217422,1,-13.18730251312188,43,0.9069767441860465,4.309418941116326,185.30501446800204,62.94818031601733,2,11.518772884133158,4.777777777777778,5.809418941116326
early,30,90,g_R1_full+g_favorite+g_regime_trending_dn+g_ribbon_slope_with,57,0.8070175438596491,3.1784170422293467,181.16977140707277,69.37261737335282,2,10.085270820868837,76,0.7368421052631579,0.4828933927672583,36.69989785031163,103.31147273545353,4,2.3273937360991885,37,0.8108108108108109,4.276240730650853,158.22090703408156,75.0,3,9.837251850854376,4.111111111111111,5.776240730650853
mid,90,180,g_rf_strict_align+g_tr_partial_stack_with,120,0.7666666666666667,1.1937669734140266,143.2520368096832,132.87387503590543,3,4.442000614841036,37,0.8108108108108109,-0.26590281079403205,-9.838403999379185,123.85192091049538,2,-0.8408104338194492,50,0.84,4.2651035319929544,213.25517659964774,64.37956007957742,2,10.121609246626578,5.555555555555555,5.7651035319929544
mid_early,60,150,g_cci_extreme_with+g_rf_aged,207,0.8115942028985508,1.162475391406435,240.63240602113206,91.7778554243171,2,6.1393765088950785,53,0.8301886792452831,1.7973402191054262,95.25903161258759,102.31528420047715,3,5.334020498454637,94,0.8191489361702128,2.462913511902438,231.5138701188292,104.75011802605516,3,6.99558145256511,10.444444444444445,5.7602537310078645
late,180,270,g_mp_no_extreme_100+g_regime_ranging+g_rf_strict_align,51,0.8431372549019608,2.0819348434791567,106.17867701743698,89.88690693203084,2,5.448091954861156,24,0.875,2.065593654024853,49.57424769659648,38.64758232875889,1,5.551570827075502,40,0.85,2.157302209706836,86.29208838827344,99.35309299253949,2,4.319499130142057,4.444444444444445,5.722895863731689
mid,90,180,g_cci_strong_with+g_mp_no_extreme_50+g_rf_strict_align+g_tr_full_stack_with,40,0.95,3.7012706216845515,148.05082486738206,25.0,1,11.449722248791533,17,0.8823529411764706,-1.9031122233673017,-32.35290779724413,50.0,2,-7.349627037107384,17,0.9411764705882353,4.219296778181145,71.72804522907947,25.0,1,19.36010212241735,1.8888888888888888,5.719296778181145
mid_early,60,150,g_cci_strong_with+g_mp_no_extreme_100+g_rf_strict_align+g_tr_full_stack_with,49,0.8775510204081632,3.5345438403623293,173.19264817775414,50.0,2,10.680046848931909,22,0.8181818181818182,-2.780373070497279,-61.16820755094014,70.10994383593103,2,-15.961077776905428,23,0.8695652173913043,4.209656868966288,96.82210798622462,25.0,1,32.60452222977638,2.5555555555555554,5.709656868966288
early,30,90,g_depth_250_strict+g_dir_up+g_hod_us_afternoon+g_sms_no_liquidity_above,36,0.9444444444444444,4.5277780356031645,163.00000928171391,25.0,1,13.394045454182077,8,0.75,-1.2623229253440371,-10.098583402752297,48.71052599217422,1,-3.061671063542811,55,0.9090909090909091,4.188718126785012,230.3794969731757,25.139004133642658,1,14.48581991709946,6.111111111111111,5.688718126785012
early,30,90,g_R1_full+g_regime_trending_dn+g_ribbon_slope_with+g_trend_slope_strong_with,36,0.8611111111111112,6.397420901786919,230.3071524643291,25.0,1,18.328297470701834,55,0.6727272727272727,-2.27293970487937,-125.01168376836536,198.55692829243628,4,-7.675210273048313,27,0.8148148148148148,5.659444000684839,152.80498801849066,75.0,3,11.36661387308279,3.0,5.659444000684839
mid_early,60,150,g_bb_pos_strong_with+g_mp_no_extreme_100+g_rf_strict_align+g_tr_full_stack_with,60,0.8666666666666667,3.3295469848880144,199.77281909328087,50.0,2,10.861578610640933,26,0.8076923076923077,-3.0904736695353003,-80.35231540791781,92.19942557943921,2,-22.00910299357166,24,0.875,4.158432723477104,99.8023853634505,25.0,1,27.34347104241156,2.6666666666666665,5.658432723477104
pre_60,0,60,g_R1_full+g_cci_strong_with+g_ev_in_40_70+g_regime_trending_dn,22,0.8181818181818182,7.795075374711223,171.4916582436469,25.0,1,19.709086968681863,25,0.56,-3.0875858687972966,-77.18964671993241,121.79951598135821,3,-13.093351974704891,16,0.75,5.656472427666905,90.50355884267049,25.0,1,9.773836613152422,1.7777777777777777,5.656472427666905
